"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:179","28,85 m²","pelna wlasnosc","1 ","do wykonczenia","5/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowe-mieszkanie-m52-ID4h67V","lublin",NA
"1:180","28,31 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-kompaktowe-mieszkanie-m51-ID4h67A","lublin",NA
"1:181","27,4 m²","pelna wlasnosc","1 ","do wykonczenia","5/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-ustawne-mieszkanie-m50-ID4h67i","lublin",NA
"1:182","32,45 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","parter/4","balkon","250 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie","telewizja kablowa, internet",NA,NA,"piwnica",NA,"338 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-do-wejscia-felin-ID4h66Q","lublin",NA
"1:183","28,39 m²","pelna wlasnosc","1 ","do wykonczenia","5/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowe-mieszkanie-m49-ID4h66y","lublin",NA
"1:184","32,29 m²","pelna wlasnosc","2 ","do wykonczenia","5/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-ustawne-mieszkanie-m48-ID4h65h","lublin",NA
"1:185","32,29 m²","pelna wlasnosc","2 ","do wykonczenia","5/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-dwupokojowe-mieszkanie-m47-ID4h62L","lublin",NA
"1:186","28,91 m²","pelna wlasnosc","1 ","do wykonczenia","5/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-przytulne-mieszkanie-m46-ID4h624","lublin",NA
"1:187","28,91 m²","pelna wlasnosc","1 ","do wykonczenia","5/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowe-mieszkanie-m45-ID4h61A","lublin",NA
"1:188","25,4 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-komfortowe-mieszkanie-m42-ID4h60v","lublin",NA
"1:189","28,85 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowe-mieszkanie-m41-ID4h60b","lublin",NA
"1:190","28,31 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-kompaktowe-mieszkanie-m40-ID4h605","lublin",NA
"1:191","27,4 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-ustawne-mieszkanie-m39-ID4h5Vk","lublin",NA
"1:192","36,22 m²","pelna wlasnosc","2 ","do zamieszkania","2/3","zapytaj","zapytaj","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","telewizja kablowa, internet","system alarmowy, domofon / wideofon, monitoring / ochrona",NA,"piwnica",NA,"290 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-po-remoncie-ID4egc6","lublin",NA
"1:193","28,39 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowe-mieszkanie-m38-ID4h5Vg","lublin",NA
"1:194","32,29 m²","pelna wlasnosc","2 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-dwupokojowe-mieszkanie-m37-ID4h5Vc","lublin",NA
"1:195","32,29 m²","pelna wlasnosc","2 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-ustawne-mieszkanie-m36-ID4h5WT","lublin",NA
"1:196","28,91 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowe-mieszkanie-m35-ID4h5WD","lublin",NA
"1:197","28,91 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-przytulne-mieszkanie-m34-ID4h5Wt","lublin",NA
"1:198","25,4 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-komfortowe-mieszkanie-m31-ID4h5TQ","lublin",NA
"1:199","28,85 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-wygodne-mieszkanie-m30-ID4h5TL","lublin",NA
"1:200","28,31 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowoczesne-mieszkanie-m29-ID4h5TF","lublin",NA
"1:201","32,29 m²","pelna wlasnosc","2 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-ustawne-mieszkanie-m26-ID4h5Tn","lublin",NA
"1:202","28,39 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowe-mieszkanie-m27-ID4h5Ts","lublin",NA
"1:203","32,29 m²","pelna wlasnosc","2 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-dwupokojowe-mieszkanie-m25-ID4h5Th","lublin",NA
"1:204","28,91 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-przytulne-mieszkanie-m24-ID4h5SI","lublin",NA
"1:205","34,11 m²","zapytaj","1 ","do wykonczenia","6/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2024","blok",NA,"tak",NA,NA,NA,"pom. uzytkowe",NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-centrum-prusa-twins-m34-ID4gZhg","lublin","2024-03-31"
"1:206","28,31 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2022","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"319 903 zl","https://www.otodom.pl/pl/oferta/apartamenty-sowinskiego-lublin-apartament-m07-ID4fFLy","lublin",NA
"1:207","36,62 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"281 974 zl","https://www.otodom.pl/pl/oferta/nowa-kreta-b1-mieszkanie-lm-30-ID4f6p6","lublin",NA
"1:208","28,91 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowe-mieszkanie-m23-ID4h5in","lublin",NA
"1:209","25,4 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-wygodne-mieszkanie-m20-ID4h5bW","lublin",NA
"1:210","28,85 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowe-mieszkanie-m19-ID4h5bR","lublin",NA
"1:211","28,31 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-kompaktowe-mieszkanie-m18-ID4h5bI","lublin",NA
"1:212","27,4 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-ustawne-mieszkanie-m17-ID4h5b7","lublin",NA
"1:213","28,39 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-przytulne-mieszkanie-m16-ID4h5aI","lublin",NA
"1:214","32,29 m²","pelna wlasnosc","2 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-dwupokojowe-mieszkanie-m15-ID4h5aB","lublin",NA
"1:215","32,29 m²","pelna wlasnosc","2 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-ustawne-mieszkanie-m14-ID4h59i","lublin",NA
"1:216","28,91 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowe-mieszkanie-m13-ID4h596","lublin",NA
"1:217","28,91 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-wygodne-mieszkanie-m12-ID4h58J","lublin",NA
"1:218","25,4 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowoczesne-mieszkanie-m09-ID4h543","lublin",NA
"1:219","28,85 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-kompaktowe-mieszkanie-m08-ID4h53U","lublin",NA
"1:220","28,31 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-komfortowe-mieszkanie-m07-ID4h52O","lublin",NA
"1:221","27,4 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-wygodne-mieszkanie-m06-ID4h52t","lublin",NA
"1:222","32,29 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-dwupokojowe-mieszkanie-m4-ID4h51Z","lublin",NA
"1:223","32,29 m²","pelna wlasnosc","2 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-nowe-mieszkanie-m03-ID4h51H","lublin",NA
"1:224","28,91 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-ustawne-mieszkanie-m02-ID4h51A","lublin",NA
"1:225","28,91 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2023","apartamentowiec",NA,"tak","internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/sowinskiego-apartments-przytulne-mieszkanie-m01-ID4h51w","lublin",NA
"1:226","34,22 m²","zapytaj","1 ","zapytaj","2/2","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","nie",NA,NA,NA,NA,NA,"330 000 zl","https://www.otodom.pl/pl/oferta/lsm-kawalerka-atrakcyjne-lokalizacja-ID4h4KR","lublin","2022-06-08"
"1:227","28,31 m²","pelna wlasnosc","1 ","do wykonczenia","5/7","balkon","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","deweloper","2022","apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/apartamenty-sowinskiego-lublin-apartament-m51-ID4fFO0","lublin",NA
"1:228","36,62 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak","internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"281 974 zl","https://www.otodom.pl/pl/oferta/nowa-kreta-b1-mieszkanie-lm-29-ID4f6p3","lublin",NA
"1:229","33,86 m²","pelna wlasnosc","2 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"piwnica","zelbet","402 934 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-fieldorfa-3-m-15-ID4gqq3","lublin",NA
"1:230","37,9 m²","zapytaj","2 ","do remontu","parter/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1970","blok",NA,"nie",NA,NA,NA,NA,NA,"319 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-37-90-m-lublin-ID4h3Zf","lublin",NA
"1:231","14,72 m²","pelna wlasnosc","1 ","do remontu","3/3","zapytaj","130 zl","zapytaj","zapytaj","kotlownia","wtórny","biuro nieruchomosci ",NA,"kamienica",NA,"nie",NA,NA,NA,NA,NA,"120 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-do-remontu-blisko-centrum-ID4h3VE","lublin",NA
"1:232","30,39 m²","pelna wlasnosc","2 ","do zamieszkania","1/3","zapytaj","zapytaj","zapytaj","zapytaj","kotlownia","wtórny","biuro nieruchomosci ",NA,"dom wolnostojacy","plastikowe","nie","internet, telefon","system alarmowy, domofon / wideofon, monitoring / ochrona",NA,"piwnica","cegla","260 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-w-wyremontowanym-budynku-ID4eghi","lublin",NA
"1:233","32,5 m²","pelna wlasnosc","2 ","do zamieszkania","2/3","zapytaj","zapytaj","zapytaj","zapytaj","kotlownia","wtórny","biuro nieruchomosci ","1960","blok","plastikowe","nie","internet",NA,NA,"piwnica",NA,"275 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-po-remoncie-ID4ehBJ","lublin",NA
"1:234","36,5 m²","spóldzielcze wl. z KW","1 ","do wykonczenia","4/4","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1963","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe","meble, kuchenka","piwnica",NA,"383 000 zl","https://www.otodom.pl/pl/oferta/inwestycyjne-mieszkanie-w-centrum-ID4h3Fr","lublin","2022-06-07"
"1:235","32,38 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","balkon","100 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2022","apartamentowiec","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,"pustak","291 500 zl","https://www.otodom.pl/pl/oferta/deweloperka-na-juz-1-2-pokoje-1-pietro-ID4fDx4","lublin",NA
"1:236","36,22 m²","pelna wlasnosc","2 ","do zamieszkania","2/3","balkon","200 zl","zapytaj","zapytaj","inne","wtórny","biuro nieruchomosci ","1930","kamienica","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,"piwnica","cegla","289 500 zl","https://www.otodom.pl/pl/oferta/2-pokoje-po-generalnym-remoncie-2-pietro-ID4eZ61","lublin",NA
"1:237","36,98 m²","pelna wlasnosc","2 ","do remontu","parter/11","zapytaj","320 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1972","blok","plastikowe","tak",NA,"domofon / wideofon","lodówka, meble, pralka","piwnica","wielka plyta","299 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-parter-tatary-ID4h3Co","lublin",NA
"1:238","37 m²","pelna wlasnosc","2 ","do zamieszkania","parter/10","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1975","blok",NA,"tak",NA,NA,NA,"piwnica, pom. uzytkowe","wielka plyta","296 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-pod-inwestycje-tatary-ID4h3zi","lublin",NA
"1:239","32 m²","pelna wlasnosc","1 ","do zamieszkania","1/3","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2011","blok",NA,"tak",NA,"monitoring / ochrona",NA,NA,"cegla","343 000 zl","https://www.otodom.pl/pl/oferta/botanik-kawalerka-z-opcja-dwoch-pokoi-ID4h3xC","lublin",NA
"1:240","27 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","2/4","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica","pustak","275 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-junoszy-do-wejscia-blisko-umcs-kul-ID4h3gg","lublin","2022-06-06"
"1:241","36,13 m²","pelna wlasnosc","2 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"piwnica","zelbet","429 947 zl","https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-fieldorfa-3-m-16-ID4gqnW","lublin",NA
"1:242","36,37 m²","pelna wlasnosc","2 ","zapytaj","3/6","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2021",NA,"plastikowe","tak",NA,NA,NA,"oddzielna kuchnia",NA,"418 255 zl","https://www.otodom.pl/pl/oferta/mieszkanie-36-37-m-lublin-ID4h2Sy","lublin",NA
"1:243","36,3 m²","pelna wlasnosc","2 ","zapytaj","3/5","balkon, taras","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021",NA,"plastikowe","tak","telewizja kablowa, internet, telefon","monitoring / ochrona",NA,"piwnica, oddzielna kuchnia",NA,"399 000 zl","https://www.otodom.pl/pl/oferta/bez-prowizj-apartament-z-widokiem-ID4h2Ss","lublin",NA
"1:244","37 m²","zapytaj","2 ","do remontu","parter/10","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1960","blok",NA,"tak",NA,NA,NA,"piwnica, pom. uzytkowe","wielka plyta","279 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-tatary-ID4h0qH","lublin",NA
"1:245","30,15 m²","pelna wlasnosc","1 ","zapytaj","parter/5","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022",NA,"plastikowe","tak",NA,"monitoring / ochrona",NA,"oddzielna kuchnia","pustak","250 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-30-15-m-lublin-ID4h2x2","lublin",NA
"1:246","32,3 m²","pelna wlasnosc","2 ","zapytaj","1/10","zapytaj","1 zl","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","1990","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica",NA,"319 000 zl","https://www.otodom.pl/pl/oferta/lublin-ul-lipinskiego-czechow-32-3m2-2-pokoje-ID4g4X4","lublin","2022-03-31"
