"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:15","35,1 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","4/4","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1968","blok","plastikowe","nie","telewizja kablowa",NA,NA,"piwnica",NA,"339 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-blisko-srodmiescia-po-remoncie-ID4h0WS","lublin",NA
"1:16","38 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","parter/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1978","blok",NA,"nie",NA,NA,NA,"piwnica","wielka plyta","319 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-38-m-lublin-ID4gPE6","lublin",NA
"1:17","37,37 m²","pelna wlasnosc","2 ","do wykonczenia","5/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper","2021","blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet","355 015 zl","https://www.otodom.pl/pl/oferta/lokal-noclegowy-5-03-ID4hjgZ","lublin",NA
"1:18","15,58 m²","pelna wlasnosc","1 ","do zamieszkania","3/3","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,"domofon / wideofon","lodówka, piekarnik, kuchenka",NA,NA,"219 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-start-pod-klucz-bez-posrednikow-ID4h6qT","lublin",NA
"1:19","38 m²","pelna wlasnosc","2 ","do wykonczenia","parter/4","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","2021","blok",NA,"tak",NA,NA,NA,"piwnica",NA,"320 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-z-tarasem-2-pokojowe-wrotkow-ID4h7zo","lublin",NA
"1:20","37,37 m²","pelna wlasnosc","2 ","do wykonczenia","4/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper","2021","blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet","355 015 zl","https://www.otodom.pl/pl/oferta/lokal-noclegowy-4-10-ID4hjgo","lublin",NA
"1:21","37,37 m²","pelna wlasnosc","2 ","do wykonczenia","4/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper","2021","blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet","355 015 zl","https://www.otodom.pl/pl/oferta/lokal-noclegowy-4-03-ID4hjfu","lublin",NA
"1:22","34 m²","pelna wlasnosc","2 ","do zamieszkania","8/10","balkon","285 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka","piwnica, oddzielna kuchnia","wielka plyta","260 000 zl","https://www.otodom.pl/pl/oferta/dobra-inwestycja-na-sprzedaz-ul-odlewnicza-ID4hjeV","lublin",NA
"1:23","37,37 m²","pelna wlasnosc","2 ","do wykonczenia","3/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper","2021","blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet","355 015 zl","https://www.otodom.pl/pl/oferta/lokal-noclegowy-3-10-ID4hjes","lublin",NA
"1:24","37,37 m²","pelna wlasnosc","2 ","do wykonczenia","3/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","deweloper","2021","blok","plastikowe","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"zelbet","355 015 zl","https://www.otodom.pl/pl/oferta/lokal-noclegowy-3-03-ID4hjdR","lublin",NA
