"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:246","29,4 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","zapytaj","177 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1930","kamienica","plastikowe","nie","internet","domofon / wideofon","meble, piekarnik, kuchenka",NA,"inne","359 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-ID4gGqs","gdansk",NA
"1:247","32,8 m²","pelna wlasnosc","1 ","do remontu","4/8","zapytaj","250 zl","garaz/miejsce parkingowe","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","1973","blok","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","meble","piwnica",NA,"396 000 zl","https://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-inwestycyjna-na-przymorzu-ID4hfW6","gdansk","2022-06-13"
"1:248","30,4 m²","zapytaj","1 ","do remontu","2/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","drewniane","tak",NA,"domofon / wideofon",NA,NA,"wielka plyta","370 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-przy-lesie-niedaleko-awf-gdansk-oliwa-ID4hfUq","gdansk","2022-06-10"
"1:249","36,2 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4hfS8","gdansk",NA
"1:250","34,71 m²","pelna wlasnosc","1 ","do zamieszkania","1/7","zapytaj","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2015","blok","plastikowe","tak",NA,NA,"meble",NA,"inne","449 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-kawalerke-na-morenie-ID4hfOV","gdansk",NA
"1:251","34,34 m²","zapytaj","2 ","zapytaj","3/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,"327 947 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-na-poludniu-gdanska-ID4hfMG","gdansk",NA
"1:252","30 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","parter/4","zapytaj","280 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","nie",NA,"domofon / wideofon",NA,"piwnica","wielka plyta","390 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-przymorzu-ul-chlopska-ID4hftm","gdansk",NA
"1:253","36 m²","zapytaj","2 ","do zamieszkania","3/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1962",NA,"plastikowe","nie",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica",NA,"539 000 zl","https://www.otodom.pl/pl/oferta/centrum-po-kapitalnym-remoncie-2-pokoje-ID4hfo9","gdansk",NA
"1:254","24 m²","zapytaj","1 ","do zamieszkania","1/4","zapytaj","250 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","1980","blok","plastikowe","nie",NA,"domofon / wideofon","lodówka, meble, piekarnik, kuchenka","piwnica",NA,"425 000 zl","https://www.otodom.pl/pl/oferta/wyjatkowa-i-stylowa-kawalerka-blisko-morza-ID4hfme","gdansk",NA
"1:255","30,9 m²","pelna wlasnosc","1 ","zapytaj","6/10","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,NA,"piwnica",NA,"435 000 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-w-swietnej-okolicy-ID4h9oD","gdansk","2022-06-10"
"1:256","31,5 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"piwnica","cegla","296 700 zl","https://www.otodom.pl/pl/oferta/ostatnie-najtansze-2-pok-w-promocji-ID4hfjd","gdansk",NA
"1:257","30,64 m²","pelna wlasnosc","1 ","do zamieszkania","parter/4","ogródek, taras","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2015","blok","plastikowe","tak","internet","teren zamkniety, domofon / wideofon, monitoring / ochrona","meble","pom. uzytkowe",NA,"459 000 zl","https://www.otodom.pl/pl/oferta/stylowa-kawalerka-z-ogrodem-na-osiedlu-dwa-tarasy-ID4hfi7","gdansk",NA
"1:258","38 m²","zapytaj","3 ","do zamieszkania","2/11","balkon","430 zl","zapytaj","tak","zapytaj","wtórny","prywatny",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","wielka plyta","499 000 zl","https://www.otodom.pl/pl/oferta/po-generalnym-remoncie-przymorze-gdansk-ID4gXrf","gdansk",NA
"1:259","31,18 m²","pelna wlasnosc","2 ","do zamieszkania","7/17","balkon","450 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2015","blok","plastikowe","tak",NA,"domofon / wideofon","meble","pom. uzytkowe",NA,"569 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-zaspa-albatros-ID4hfi5","gdansk",NA
"1:260","28,5 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"piwnica","cegla","270 300 zl","https://www.otodom.pl/pl/oferta/prywatny-ogrod-m1-blisko-obwodnicy-promocj-ID4hfh8","gdansk",NA
"1:261","33,4 m²","pelna wlasnosc","2 ","do wykonczenia","parter/3","ogródek, taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,NA,"cegla","341 300 zl","https://www.otodom.pl/pl/oferta/klucze-na-wakacje-blisko-komunikacja-dod-rabat-ID4hfgo","gdansk",NA
"1:262","31,5 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"piwnica","cegla","304 500 zl","https://www.otodom.pl/pl/oferta/ostatnie-najtansze-2-pok-w-promocji-ID4hfgh","gdansk",NA
"1:263","27 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","4/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,"429 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-niski-blok-ID4hf6g","gdansk",NA
"1:264","36,94 m²","pelna wlasnosc","2 ","do wykonczenia","1/2","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2023","apartamentowiec",NA,"nie","internet","system alarmowy, drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"900 360 zl","https://www.otodom.pl/pl/oferta/luksusowy-apartament-z-prywatna-marina-gdansk-ID4heRX","gdansk","2023-07-01"
"1:265","36,94 m²","pelna wlasnosc","2 ","do wykonczenia","parter/2","ogródek, taras","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2023","apartamentowiec",NA,"nie",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"904 665 zl","https://www.otodom.pl/pl/oferta/luksusowy-apartament-z-prywatna-marina-gdansk-ID4heRV","gdansk","2023-07-01"
"1:266","31,4 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,NA,"cegla","318 000 zl","https://www.otodom.pl/pl/oferta/wiekszy-metraz-za-cene-mniejszego-35m2-dod-rabat-ID4ha8y","gdansk",NA
"1:267","31 m²","pelna wlasnosc","2 ","do zamieszkania","7/17","balkon","200 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2015","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica","beton","569 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-w-albatross-towers-ID4heP4","gdansk",NA
"1:268","30,9 m²","pelna wlasnosc","1 ","do zamieszkania","6/10","zapytaj","400 zl","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1974",NA,NA,"nie",NA,NA,"lodówka, meble, piekarnik, kuchenka, pralka","piwnica",NA,"435 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-zaspie-z-widokiem-na-panorame-ID4heHo","gdansk",NA
"1:269","27 m²","zapytaj","1 ","zapytaj","5/10","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,"439 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-z-balkonem-ID4heFe","gdansk",NA
"1:270","38 m²","pelna wlasnosc","2 ","do zamieszkania","9/10","balkon","440 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970",NA,"plastikowe","tak",NA,NA,NA,"piwnica, oddzielna kuchnia","wielka plyta","449 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-z-pieknym-widokiem-na-przymorzu-ID4heBp","gdansk",NA
"1:271","27,7 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","1/9","balkon","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1978","blok","plastikowe","tak",NA,NA,NA,"pom. uzytkowe","wielka plyta","390 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-gdanskiej-zabiance-ID4gMTL","gdansk",NA
"1:272","33,35 m²","pelna wlasnosc","2 ","do wykonczenia","parter/3","ogródek, taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,NA,"cegla","341 500 zl","https://www.otodom.pl/pl/oferta/dod-bonus-najtansze-2pok-gotowe-z-ogrodem-zach-ID4hews","gdansk",NA
"1:273","31,1 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4gtP1","gdansk",NA
"1:274","38 m²","pelna wlasnosc","2 ","do zamieszkania","9/10","balkon","560 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1972","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","meble","piwnica","wielka plyta","420 000 zl","https://www.otodom.pl/pl/oferta/z-widokiem-blisko-morza-inwestycja-2-pokoje-ID4gKwW","gdansk","2022-09-01"
"1:275","31,18 m²","pelna wlasnosc","2 ","do zamieszkania","7/17","balkon","280 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","pom. uzytkowe",NA,"569 000 zl","https://www.otodom.pl/pl/oferta/atrakcyjne-dwa-pokoje-albatros-przymorze-ID4hepM","gdansk",NA
"1:276","34,78 m²","pelna wlasnosc","2 ","do remontu","1/3","balkon","350 zl","garaz/miejsce parkingowe","zapytaj","inne","wtórny","biuro nieruchomosci ","2013","blok","plastikowe","nie",NA,NA,NA,NA,"inne","419 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-w-nowym-budownictwie-z-miejscem-ID4heod","gdansk",NA
"1:277","36 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","cegla","359 500 zl","https://www.otodom.pl/pl/oferta/promocja-na-ostatni-lokal-nie-przegap-gotowe-2mc-ID4hekt","gdansk",NA
"1:278","21 m²","pelna wlasnosc","1 ","do zamieszkania","parter/3","zapytaj","300 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1950","kamienica","plastikowe","nie",NA,NA,NA,NA,"cegla","455 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-inwestycyjne-stare-miasto-ul-ogarna-ID4hehj","gdansk",NA
"1:279","26 m²","zapytaj","1 ","do zamieszkania","4/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,NA,NA,NA,"359 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-pasie-nadmorskim-ID4hbzj","gdansk",NA
"1:280","27,6 m²","pelna wlasnosc","1 ","zapytaj","1/4","balkon","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2003","blok",NA,"nie",NA,NA,"meble",NA,"pustak","345 000 zl","https://www.otodom.pl/pl/oferta/ladna-umeblowana-kawalerka-z-duzym-balkonem-ID4hbzh","gdansk",NA
"1:281","31,92 m²","pelna wlasnosc","1 ","do wykonczenia","> 10/17","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec",NA,"nie",NA,NA,NA,NA,NA,"478 385,04 zl","https://www.otodom.pl/pl/oferta/apartament-typu-studio-spacerem-nad-morze-ID4aamB","gdansk",NA
"1:282","30 m²","pelna wlasnosc","1 ","do zamieszkania","parter/2","zapytaj","177 zl","zapytaj","tak","elektryczne","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica","cegla","355 000 zl","https://www.otodom.pl/pl/oferta/kamienica-wrzeszcz-gorny-kawalerka-parter-ID4gZyw","gdansk",NA
"1:283","22,52 m²","pelna wlasnosc","1 ","zapytaj","parter/4","ogródek","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2015","blok",NA,"tak",NA,"domofon / wideofon",NA,"pom. uzytkowe",NA,"319 000 zl","https://www.otodom.pl/pl/oferta/idealne-na-start-super-skomunikowane-ID4fowX","gdansk",NA
"1:284","36,21 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"342 500 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-ID4ckBw","gdansk",NA
"1:285","32,71 m²","pelna wlasnosc","2 ","do zamieszkania","2/6","zapytaj","360 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2017","apartamentowiec",NA,"nie","internet, telefon","system alarmowy, domofon / wideofon, monitoring / ochrona","meble","piwnica",NA,"630 000 zl","https://www.otodom.pl/pl/oferta/jaglana-2-pok-miejsce-w-hali-i-komorka-ID4et2H","gdansk","2001-01-20"
"1:286","33,2 m²","pelna wlasnosc","1 ","do zamieszkania","parter/3","ogródek","350 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","2009","blok","plastikowe","nie",NA,"teren zamkniety, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica","cegla","329 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-33m2-z-ogrodkiem-i-piwnica-zakoniczyn-ID4hdSq","gdansk",NA
"1:287","18 m²","zapytaj","1 ","zapytaj","1/10","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,"289 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-18m2-idealna-inswestycja-przymorze-ID4hdQt","gdansk",NA
"1:288","38 m²","pelna wlasnosc","2 ","do remontu","6/11","balkon","440 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1970","blok","drewniane","nie","telewizja kablowa, internet, telefon",NA,NA,"piwnica","wielka plyta","449 000 zl","https://www.otodom.pl/pl/oferta/do-kapitalnego-remontu-ID4hdCK","gdansk",NA
"1:289","35 m²","pelna wlasnosc","2 ","zapytaj","4/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1964","blok",NA,"nie","internet, telefon","domofon / wideofon",NA,"piwnica, oddzielna kuchnia",NA,"325 000 zl","https://www.otodom.pl/pl/oferta/gdansk-stogi-2-pokojowe-blisko-morza-ID4gaLj","gdansk",NA
"1:290","31,18 m²","pelna wlasnosc","2 ","do zamieszkania","7/17","taras","280 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2015","apartamentowiec","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, monitoring / ochrona","lodówka, meble, kuchenka, telewizor, pralka","pom. uzytkowe","pustak","569 000 zl","https://www.otodom.pl/pl/oferta/blisko-morza-albatross-dostepne-od-zaraz-ID4hdsT","gdansk",NA
"1:291","38 m²","pelna wlasnosc","2 ","do zamieszkania","2/5","balkon","400 zl","garaz/miejsce parkingowe","Film","miejskie","wtórny","biuro nieruchomosci ","1955","blok","drewniane","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe","meble, piekarnik",NA,"cegla","435 000 zl","https://www.otodom.pl/pl/oferta/centrum-skm-2-pokoje-balkon-ID4gdbd","gdansk",NA
"1:292","37,5 m²","zapytaj","2 ","zapytaj","4/10","balkon","370 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,NA,"piwnica","wielka plyta","509 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-gdansk-zabianka-ID4gTBl","gdansk","2022-05-30"
"1:293","27 m²","pelna wlasnosc","1 ","do remontu","1/4","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon","pralka","piwnica",NA,"358 000 zl","https://www.otodom.pl/pl/oferta/blisko-morza-oddzielna-kuchnia-1-pietro-ID4h9GJ","gdansk","2022-06-15"
"1:294","30,64 m²","pelna wlasnosc","1 ","do zamieszkania","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2015","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,NA,"459 000 zl","https://www.otodom.pl/pl/oferta/jasna-kawalerka-30-m2-z-ogrodem-24-m2-ID4hdkX","gdansk",NA
"1:295","38 m²","pelna wlasnosc","2 ","do zamieszkania","10/10","balkon, taras","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1973",NA,"aluminiowe","tak",NA,NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe","wielka plyta","407 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-38-m-gdansk-ID4hdiu","gdansk",NA
"1:296","32,28 m²","pelna wlasnosc","1 ","do wykonczenia","parter/7","ogródek","270 zl","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","2010","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"385 000 zl","https://www.otodom.pl/pl/oferta/duza-kawalerka-z-ogrodkiem-kolo-lasu-ID4h5ct","gdansk",NA
"1:297","27,35 m²","pelna wlasnosc","2 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"359 953 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-inwestycyjny-27m2-balkon-ID4gLOY","gdansk",NA
"1:298","27,8 m²","pelna wlasnosc","2 ","do zamieszkania","2/4","balkon","300 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2019","blok","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,"pustak","399 000 zl","https://www.otodom.pl/pl/oferta/idealne-miieszkanie-pod-inwestycje-ID4hd75","gdansk",NA
"1:299","28,3 m²","pelna wlasnosc","1 ","do zamieszkania","2/6","zapytaj","118 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2016","apartamentowiec","drewniane","tak","telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywlamaniowe, monitoring / ochrona","meble",NA,"inne","431 000 zl","https://www.otodom.pl/pl/oferta/pokoj-w-condohotelu-w-centrum-gdanska-ID4hd72","gdansk",NA
"1:300","34,38 m²","zapytaj","2 ","do zamieszkania","3/3","zapytaj","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1930","kamienica","plastikowe","nie",NA,NA,NA,"piwnica","cegla","500 000 zl","https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-wrzeszcz-ID4hd6S","gdansk",NA
"1:301","25,7 m²","zapytaj","1 ","do zamieszkania","2/17","balkon","400 zl","zapytaj","tak","zapytaj","wtórny","biuro nieruchomosci ","2014","apartamentowiec",NA,"tak",NA,"domofon / wideofon, monitoring / ochrona","lodówka, meble, pralka","pom. uzytkowe",NA,"550 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-przymorzu-cztery-oceany-ID4hd5L","gdansk",NA
"1:302","38 m²","pelna wlasnosc","2 ","do zamieszkania","3/4","balkon","450 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1974","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"piwnica",NA,"525 000 zl","https://www.otodom.pl/pl/oferta/2pok-3-pietro-sloneczne-balkon-po-remoncie-ID4hd5c","gdansk","2022-03-24"
"1:303","32,09 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-ogrodek-bezposrednio-ID4ggRt","gdansk",NA
"1:304","29,74 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2022","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"287 646 zl","https://www.otodom.pl/pl/oferta/pelna-ofertarabatylato-2022-ID4hd1i","gdansk",NA
"1:305","28,03 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","balkon, ogródek, taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ","2023","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,NA,"294 320 zl","https://www.otodom.pl/pl/oferta/miejsce-postojowe-w-ceniepelna-oferta-ID4hd0u","gdansk",NA
"1:306","29,6 m²","pelna wlasnosc","1 ","do zamieszkania","3/3","balkon","300 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","nie",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica",NA,"415 000 zl","https://www.otodom.pl/pl/oferta/przytulna-kawalerka-w-centrum-gdansk-wrzeszcz-ID4h8xU","gdansk",NA
"1:307","31,18 m²","zapytaj","2 ","do zamieszkania","7/17","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2016","apartamentowiec","plastikowe","tak",NA,NA,"meble",NA,"cegla","569 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-31-18-m-gdansk-ID4hcPA","gdansk","2022-06-15"
"1:308","37 m²","zapytaj","2 ","zapytaj","7/10","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,"349 000 zl","https://www.otodom.pl/pl/oferta/2-ID4hcP1","gdansk",NA
"1:309","38 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","5/11","balkon","500 zl","zapytaj","tak","zapytaj","wtórny","prywatny","1972","szeregowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica",NA,"550 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-na-przymorzu-ID4hcqy","gdansk",NA
"1:310","38 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","9/10","balkon","400 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","meble","piwnica",NA,"449 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-38-m2-2-pok-ix-p-gdansk-przymorze-ID4hcn0","gdansk",NA
"1:311","31 m²","pelna wlasnosc","2 ","do zamieszkania","3/3","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1960","blok",NA,"nie","internet, telefon","domofon / wideofon","meble","piwnica",NA,"586 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-gdansk-srodmiescie-stare-miasto-ID4hciE","gdansk",NA
