"","X","Powierzchnia","Forma.wlasnosci","Liczba.pokoi","Stan.wykonczenia","Pietro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsluga.zdalna","Ogrzewanie","Rynek","Typ.ogloszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje.dodatkowe","Material.budynku","cena","urlo","miasto","Dostepne.od","SQRM"
"1:2677","1:1159",35,"pelna wlasnosc","2","zapytaj","parter/4","ogródek","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",2022,NA,"plastikowe","nie",NA,NA,NA,NA,NA,356000,"https://www.otodom.pl/pl/oferta/na-sprzedaz-nowe-mieszkania-na-obrzezach-gdanska-ID4dP4w","gdansk","2022-11-30",10171
"1:2678","1:1160",36,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492940,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4cozg","gdansk",NA,13693
"1:2679","1:1163",35,"zapytaj","1","do wykonczenia","2/6","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2023,"apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,NA,544670,"https://www.otodom.pl/pl/oferta/ii-etap-granaria-na-wyspie-spichrzow-ID4aaYk","gdansk",NA,15562
"1:2680","1:1164",32,"zapytaj","2","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,306464,"https://www.otodom.pl/pl/oferta/nowe-osiedle-w-gdansku-1434-21-ID4dyqh","gdansk",NA,9577
"1:2681","1:1165",37,"pelna wlasnosc","2","do wykonczenia","parter/2","ogródek, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2022,"apartamentowiec",NA,"tak","internet, telefon","domofon / wideofon",NA,"piwnica",NA,359712,"https://www.otodom.pl/pl/oferta/mieszkanie-gdansk-zakoniczyn-ID4dyeH","gdansk",NA,9722
"1:2682","1:1166",35,"zapytaj","2","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,356000,"https://www.otodom.pl/pl/oferta/inwestycja-na-jasieniu-1440-21-ID4dvrU","gdansk",NA,10171
"1:2683","1:1167",36,"pelna wlasnosc","2","do wykonczenia","3/4","ogródek","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2022,"blok","plastikowe","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe",NA,380000,"https://www.otodom.pl/pl/oferta/jasien-2-pokoje-niedlugo-odbior-ID4dufi","gdansk",NA,10556
"1:2684","1:1168",34,"pelna wlasnosc","2","do wykonczenia","parter/4","ogródek","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2022,"blok","plastikowe","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe",NA,387000,"https://www.otodom.pl/pl/oferta/2-pokoje-z-ogrodkiem-na-jasieniu-ID4dufl","gdansk",NA,11382
"1:2685","1:1169",35,"pelna wlasnosc","2","do wykonczenia","2/4","balkon","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2022,"blok","plastikowe","tak",NA,"domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe",NA,372000,"https://www.otodom.pl/pl/oferta/nowe-mieszkanie-7km-do-centrum-gdanska-ID4dufe","gdansk",NA,10629
"1:2686","1:1170",36,"pelna wlasnosc","1","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536995,"https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4dny5","gdansk",NA,14917
"1:2687","1:1171",37,"pelna wlasnosc","1","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588450,"https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bez-prowizji-ID4dnxx","gdansk",NA,15904
"1:2688","1:1172",37,"pelna wlasnosc","1","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551410,"https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bez-prowizji-ID4dnvT","gdansk",NA,14903
"1:2689","1:1173",31,"pelna wlasnosc","1","zapytaj","1/10","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,"meble",NA,NA,678000,"https://www.otodom.pl/pl/oferta/inwestycyjne-apartamenty-z-widokiem-na-morze-ID4dmg5","gdansk","2023-03-31",21871
"1:2690","1:1174",26,"pelna wlasnosc","1","zapytaj","parter/2","balkon, ogródek, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",2021,NA,NA,"nie",NA,NA,NA,NA,NA,696000,"https://www.otodom.pl/pl/oferta/zamieszkaj-tu-prestizowa-inwestycja-w-gdansku-ID4dloz","gdansk",NA,26769
"1:2691","1:1175",23,"pelna wlasnosc","1","zapytaj","1/10","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",2023,NA,NA,"nie",NA,NA,"meble",NA,NA,503685,"https://www.otodom.pl/pl/oferta/wykonczone-apartamenty-premium-w-gdansku-ID4dkLT","gdansk","2023-03-31",21899
"1:2692","1:1176",36,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-ID4ckBG","gdansk",NA,9556
"1:2693","1:1177",35,"pelna wlasnosc","2","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-ogrodek-ID4ckCP","gdansk",NA,9786
"1:2694","1:1178",36,"zapytaj","2","zapytaj","2/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",1970,NA,NA,"nie",NA,NA,NA,NA,NA,420000,"https://www.otodom.pl/pl/oferta/dwa-mieszkania-na-zamiane-na-jedno-wieksze-ID4d8Vq","gdansk",NA,11667
"1:2695","1:1179",26,"zapytaj","1","zapytaj","parter/2","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",2023,NA,NA,"nie",NA,NA,NA,NA,NA,728775,"https://www.otodom.pl/pl/oferta/niepowtarzalna-inwestycja-na-gdanskim-wybrzezu-ID4cZrX","gdansk","2023-10-01",28030
"1:2696","1:1180",38,"pelna wlasnosc","2","do zamieszkania","4/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","meble","piwnica",NA,475000,"https://www.otodom.pl/pl/oferta/2-niezalezne-pokoje-blisko-morza-po-remoncie-ID4cVgx","gdansk",NA,12500
"1:2697","1:1182",34,"zapytaj","2","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",2022,NA,"plastikowe","nie",NA,NA,NA,"pom. uzytkowe",NA,387000,"https://www.otodom.pl/pl/oferta/dla-mlodych-lub-pod-inwestycje-odbior-w-tym-roku-ID4bmO1","gdansk","2022-08-31",11382
"1:2698","1:1183",27,"zapytaj","1","zapytaj","parter/2","ogródek","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",2021,NA,NA,"nie",NA,NA,NA,NA,NA,425000,"https://www.otodom.pl/pl/oferta/ostatnia-kawalerka-blisko-morza-na-sprzedaz-ID4cLnx","gdansk","2021-09-01",15741
"1:2699","1:1184",28,"pelna wlasnosc","2","do zamieszkania","parter/2","zapytaj","zapytaj","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,"drzwi / okna antywlamaniowe","meble",NA,"cegla",297000,"https://www.otodom.pl/pl/oferta/kawalerka-po-generalnym-remoncie-ID4cCQf","gdansk",NA,10607
"1:2700","1:1185",31,"pelna wlasnosc","1","do wykonczenia","2/4","balkon","400 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2023,"apartamentowiec","plastikowe","tak",NA,NA,NA,"pom. uzytkowe",NA,456970,"https://www.otodom.pl/pl/oferta/kawalerka-w-scislym-centrum-gdanska-ID4cARG","gdansk",NA,14741
"1:2701","1:1186",35,"zapytaj","2","zapytaj","1/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",2022,NA,NA,"nie",NA,NA,NA,"piwnica",NA,327000,"https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-na-sprzedaz-od-developera-ID4cx8k","gdansk","2022-08-31",9343
"1:2702","1:1187",35,"pelna wlasnosc","2","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ",2021,"apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,NA,536765,"https://www.otodom.pl/pl/oferta/nowe-na-wyspie-spichrzow-ID48Vlz","gdansk",NA,15336
"1:2703","1:1188",36,"pelna wlasnosc","2","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-ogrodek-ID4ckC2","gdansk",NA,9417
"1:2704","1:1189",36,"pelna wlasnosc","2","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511130,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-ogrodek-ID4csQq","gdansk",NA,14198
"1:2705","1:1190",34,"pelna wlasnosc","2","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-ogrodek-bez-prowizji-ID4csQl","gdansk",NA,14529
"1:2706","1:1191",36,"pelna wlasnosc","2","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-ogrodek-bez-prowizji-ID4csQh","gdansk",NA,11236
"1:2707","1:1192",36,"pelna wlasnosc","2","do wykonczenia","parter/3","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505630,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-ogrodek-bez-prowizji-ID4csQd","gdansk",NA,14045
"1:2708","1:1193",36,"pelna wlasnosc","2","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,488440,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4csQf","gdansk",NA,13568
"1:2709","1:1194",36,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489940,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4csQc","gdansk",NA,13609
"1:2710","1:1195",36,"pelna wlasnosc","2","do wykonczenia","parter/3","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,511690,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-ogrodek-bezposrednio-ID4csQa","gdansk",NA,14214
"1:2711","1:1196",37,"pelna wlasnosc","2","do wykonczenia","2/4","balkon","350 zl","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2023,"blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"pom. uzytkowe",NA,336000,"https://www.otodom.pl/pl/oferta/2-pokoje-balkon-kameralny-blok-ID4cr5m","gdansk","2022-12-30",9081
"1:2712","1:1197",35,"pelna wlasnosc","2","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2022,"apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"pom. uzytkowe",NA,314000,"https://www.otodom.pl/pl/oferta/mieszkanie-w-gdansku-lostowice-ID4cmJf","gdansk","2022-09-30",8971
"1:2713","1:1198",36,"zapytaj","2","do wykonczenia","parter/4","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",2022,"blok",NA,"tak",NA,NA,NA,NA,NA,404500,"https://www.otodom.pl/pl/oferta/komfortowe-2-pokoje-z-ogrodkiem-budynek-a-ID4cmn9","gdansk",NA,11236
"1:2714","1:1199",36,"zapytaj","2","do wykonczenia","4/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",2022,"blok",NA,"tak",NA,NA,NA,NA,NA,382000,"https://www.otodom.pl/pl/oferta/komfortowe-2-pokoje-z-balkonem-budynek-b-ID4cmn5","gdansk",NA,10611
"1:2715","1:1200",38,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4ckEx","gdansk",NA,9039
"1:2716","1:1201",35,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4ckEv","gdansk",NA,9943
"1:2717","1:1202",35,"pelna wlasnosc","2","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,358000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4ckEl","gdansk",NA,10229
"1:2718","1:1203",37,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-ID4ckEg","gdansk",NA,9905
"1:2719","1:1204",36,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-ID4ckE7","gdansk",NA,9986
"1:2720","1:1205",35,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346900,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-bezposrednio-ID4ckE8","gdansk",NA,9911
"1:2721","1:1206",36,"pelna wlasnosc","2","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-ogrodek-bez-prowizji-ID4ckDM","gdansk",NA,9583
"1:2722","1:1207",36,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4ckDt","gdansk",NA,9667
"1:2723","1:1208",35,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-bezposrednio-ID4ckDq","gdansk",NA,9943
"1:2724","1:1209",37,"pelna wlasnosc","2","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4ckDk","gdansk",NA,9311
"1:2725","1:1210",35,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-ID4ckDh","gdansk",NA,9571
"1:2726","1:1211",35,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346900,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-bezposrednio-ID4ckCY","gdansk",NA,9911
"1:2727","1:1212",34,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4ckCI","gdansk",NA,10074
"1:2728","1:1213",37,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4ckCv","gdansk",NA,9905
"1:2729","1:1214",35,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-ID4ckCo","gdansk",NA,9943
"1:2730","1:1215",35,"pelna wlasnosc","2","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-ogrodek-bezposrednio-ID4ckCi","gdansk",NA,9786
"1:2731","1:1216",36,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4ckCf","gdansk",NA,9861
"1:2732","1:1217",37,"pelna wlasnosc","2","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-ogrodek-bez-prowizji-ID4ckBY","gdansk",NA,9189
"1:2733","1:1218",35,"pelna wlasnosc","2","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-bezposrednio-ID4ckBN","gdansk",NA,9657
"1:2734","1:1219",35,"pelna wlasnosc","2","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-ogrodek-ID4ckBA","gdansk",NA,9743
"1:2735","1:1220",37,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4ckBv","gdansk",NA,9635
"1:2736","1:1221",34,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-ID4ckBz","gdansk",NA,10074
"1:2737","1:1222",36,"pelna wlasnosc","2","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350000,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4ckBp","gdansk",NA,9722
"1:2738","1:1223",34,"pelna wlasnosc","2","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337500,"https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-ogrodek-bez-prowizji-ID4ckBd","gdansk",NA,9926
"1:2739","1:1224",35,"pelna wlasnosc","2","do wykonczenia","4/4","balkon","500 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2022,"blok","plastikowe","tak",NA,NA,NA,"pom. uzytkowe",NA,335000,"https://www.otodom.pl/pl/oferta/nowa-inwestycja-15-minut-od-centrum-gdanska-ID4cgSR","gdansk",NA,9571
"1:2740","1:1225",35,"pelna wlasnosc","2","do wykonczenia","parter/4","balkon","500 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2022,"blok","plastikowe","tak",NA,NA,NA,"pom. uzytkowe",NA,341000,"https://www.otodom.pl/pl/oferta/nowa-inwestycja-15-minut-od-centrum-gdanska-ID4cgkA","gdansk",NA,9743
"1:2741","1:1227",26,"pelna wlasnosc","2","do wykonczenia","3/6","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2023,"apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,NA,463700,"https://www.otodom.pl/pl/oferta/ii-etap-granaria-na-wyspie-spichrzow-ID48Vyc","gdansk",NA,17835
"1:2742","1:1228",36,"zapytaj","2","zapytaj","2/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",2022,NA,"plastikowe","nie",NA,NA,NA,"pom. uzytkowe",NA,373000,"https://www.otodom.pl/pl/oferta/nowe-2-pok-mieszaknie-na-sprzedaz-gdansk-jasien-ID4biay","gdansk","2022-11-30",10361
"1:2743","1:1229",34,"zapytaj","2","zapytaj","parter/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",2021,NA,NA,"nie",NA,NA,NA,NA,NA,387000,"https://www.otodom.pl/pl/oferta/2pok-nowe-mieszaknie-z-ogrodkiem-na-sprzedaz-ID4biav","gdansk","2022-11-30",11382
"1:2744","1:1230",37,"pelna wlasnosc","2","do zamieszkania","parter/3","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",2021,"blok",NA,"tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe",NA,335665,"https://www.otodom.pl/pl/oferta/dla-inwestora-i-rodziny-ID4b9sj","gdansk","2022-04-01",9072
"1:2745","1:1232",26,"zapytaj","1","do zamieszkania","1/4","zapytaj","180 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",1973,"blok","plastikowe","nie","telewizja kablowa, internet",NA,NA,"piwnica, oddzielna kuchnia","inne",360000,"https://www.otodom.pl/pl/oferta/stogi-ul-stryjewskiego-kawalerka-inwestycja-ID4a7CY","gdansk","2022-06-26",13846
"1:2746","2",31,"pelna wlasnosc","1","do wykonczenia","2/4","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",2023,NA,NA,"tak","telewizja kablowa, internet","monitoring / ochrona",NA,"pom. uzytkowe",NA,443508,"https://www.otodom.pl/pl/oferta/inwestycyjnie-blisko-centrum-bez-prowizji-ID3Q50U","gdansk",NA,14307
"1:2747","1:1",26,"pelna wlasnosc","1","do zamieszkania","3/8","balkon","320 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",1985,"blok","plastikowe","tak",NA,NA,"piekarnik, kuchenka",NA,"beton",240000,"https://www.otodom.pl/pl/oferta/mieszkanie-wlasnosciowe-kawalerka-po-remoncie-ID4eKxH","katowice",NA,9231
"1:2748","1:2",26,"pelna wlasnosc","1","do zamieszkania","3/8","balkon","320 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",1985,"blok","plastikowe","tak",NA,NA,"piekarnik, kuchenka",NA,"beton",240000,"https://www.otodom.pl/pl/oferta/mieszkanie-wlasnosciowe-kawalerka-po-remoncie-ID4eKxH","katowice",NA,9231
"1:2749","1:3",38,"zapytaj","2","do remontu","4/4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,NA,NA,NA,"wielka plyta",184000,"https://www.otodom.pl/pl/oferta/2-pokoje-do-remontu-z-centralnym-dostepne-wkrotce-ID4h9Jb","katowice",NA,4842
